id_departamento,departamento,id_municipio,municipio,id_localidad,localidad,año_servicio,mes_servicio,energía_activa_kWh,energía_reactiva_kVArh,potencia_máxima_kW,día_de_demanda_máxima_kW,fecha_de_demanda_máxima,promedio_diario_en_horas
91,AMAZONAS,91001,LETICIA,91001000,LETICIA (LETICIA - AMAZONAS),2020,1,7576.0,4650.0,776876.0,lunes,2020-01-27 14:15:00,24.0
91,AMAZONAS,91540,PUERTO NARIÑO,91540000,PUERTO NARIÑO (PUERTO NARIÑO - AMAZONAS),2020,1,103897.0,36304.0,227040.0,miércoles,2020-01-22 19:15:00,24.0
91,AMAZONAS,91798,TARAPACÁ (ANM),91798000,TARAPACÁ (TARAPACÁ (ANM) - AMAZONAS),2020,1,22864.0,9277.0,88960.0,jueves,2020-01-30 19:30:00,1019.0
5,ANTIOQUIA,5873,VIGÍA DEL FUERTE,5873001,SAN ANTONIO DE PADUA (VIGÍA DEL FUERTE - ANTIOQUIA),2020,1,5617.0,1381.0,53660.0,jueves,2020-01-23 19:45:00,413.0
5,ANTIOQUIA,5873,VIGÍA DEL FUERTE,5873002,VEGÁEZ (VIGÍA DEL FUERTE - ANTIOQUIA),2020,1,2217.0,5390.0,39070.0,miércoles,2020-01-29 19:45:00,317.0
5,ANTIOQUIA,5873,VIGÍA DEL FUERTE,5873000,VIGÍA DEL FUERTE (VIGÍA DEL FUERTE - ANTIOQUIA),2020,1,64137.0,28058.0,324190.0,jueves,2020-01-23 21:45:00,811.0
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88564,PROVIDENCIA,88564000,PROVIDENCIA (PROVIDENCIA - ARCHIPIÉLAGO DE SAN ANDRÉS Y PROVIDENCIA),2020,1,982117.0,337077.0,167109.0,viernes,2020-01-03 19:30:00,24.0
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88001,SAN ANDRÉS,88001000,SAN ANDRÉS (SAN ANDRÉS - ARCHIPIÉLAGO DE SAN ANDRÉS Y PROVIDENCIA),2020,1,7576.0,4650.0,2861927.0,viernes,2020-01-03 15:45:00,24.0
13,BOLÍVAR,13001,CARTAGENA DE INDIAS,13001007,ISLA FUERTE (CARTAGENA DE INDIAS - BOLÍVAR),2020,1,16797.0,8887.0,135850.0,sábado,2020-01-04 15:30:00,526.0
13,BOLÍVAR,13001,CARTAGENA DE INDIAS,13001037,ISLA MÚCURA (CARTAGENA DE INDIAS - BOLÍVAR),2020,1,10188.0,4396.0,31440.0,sábado,2020-01-04 21:45:00,146.0
13,BOLÍVAR,13001,CARTAGENA DE INDIAS,13001017,SANTA CRUZ DEL ISLOTE (CARTAGENA DE INDIAS - BOLÍVAR),2020,1,13187.0,4523.0,50180.0,sábado,2020-01-11 22:15:00,1223.0
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRÁ,18150001,REMOLINO DEL CAGUÁN (CARTAGENA DEL CHAIRA - CAQUETÁ),2020,1,15966.0,7544.0,87130.0,sábado,2020-01-25 18:45:00,806.0
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753002,GUACAMAYAS (SAN VICENTE DEL CAGUÁN - CAQUETÁ),2020,1,12554.0,6147.0,39260.0,viernes,2020-01-03 19:30:00,1826.0
85,CASANARE,85430,TRINIDAD,85430001,BOCAS DEL PAUTO (TRINIDAD - CASANARE),2020,1,131.0,733.0,107650.0,jueves,2020-01-30 19:00:00,556.0
19,CAUCA,19418,LÓPEZ DE MICAY,19418011,DOS QUEBRADAS RÍO NAYA (LÓPEZ DE MICAY - CAUCA),2020,1,209.0,5370.0,45250.0,sábado,2020-01-04 18:45:00,147.0
19,CAUCA,19418,LÓPEZ DE MICAY,19418038,ISLA DE GALLO (LÓPEZ DE MICAY - CAUCA),2020,1,2545.0,7880.0,26940.0,viernes,2020-01-10 18:45:00,354.0
19,CAUCA,19418,LÓPEZ DE MICAY,19418009,NOANAMITO (LÓPEZ DE MICAY - CAUCA),2020,1,4271.0,2127.0,320.0,viernes,2020-01-31 20:45:00,556.0
19,CAUCA,19418,LÓPEZ DE MICAY,19418012,SAN ANTONIO DE CHUARÉ (LÓPEZ DE MICAY - CAUCA),2020,1,6552.0,1861.0,60740.0,lunes,2020-01-27 19:15:00,439.0
19,CAUCA,19418,LÓPEZ DE MICAY,19418019,ZARAGOZA (LOPEZ DE MICAY - CAUCA),2020,1,5843.0,2375.0,57310.0,martes,2020-01-21 19:15:00,502.0
19,CAUCA,19809,TIMBIQUÍ,19809014,CHACÓN (TIMBIQUÍ - CAUCA),2020,1,353.0,6250.0,30060.0,miércoles,2020-01-15 18:45:00,503.0
19,CAUCA,19809,TIMBIQUÍ,19809010,COMUNIDAD DE CHETE (TIMBIQUÍ - CAUCA),2020,1,2093.0,6170.0,39230.0,domingo,2020-01-19 19:30:00,205.0
19,CAUCA,19809,TIMBIQUÍ,19809003,COTEJE (TIMBIQUÍ - CAUCA),2020,1,5137.0,3129.0,34040.0,sábado,2020-01-18 19:45:00,546.0
19,CAUCA,19809,TIMBIQUÍ,19809026,LOS BRAZOS (TIMBIQUÍ - CAUCA),2020,1,9464.0,1581.0,51770.0,miércoles,2020-01-29 19:45:00,65.0
19,CAUCA,19809,TIMBIQUÍ,19809023,PUERTO SAIJA (TIMBIQUÍ - CAUCA),2020,1,30165.0,1063.0,168080.0,domingo,2020-01-19 19:15:00,705.0
19,CAUCA,19809,TIMBIQUÍ,19809007,SAN JOSÉ (TIMBIQUÍ - CAUCA),2020,1,6346.0,346.0,45530.0,sábado,2020-01-25 20:30:00,546.0
19,CAUCA,19809,TIMBIQUÍ,19809008,SANTA MARÍA (TIMBIQUÍ - CAUCA),2020,1,12368.0,4382.0,7520.0,martes,2020-01-28 19:30:00,636.0
19,CAUCA,19809,TIMBIQUÍ,19809009,SANTA ROSA DE SAIJA (TIMBIQUÍ - CAUCA),2020,1,241.0,6710.0,24310.0,martes,2020-01-28 19:30:00,401.0
27,CHOCÓ,27006,ACANDÍ,27006000,ACANDÍ (ACANDÍ - CHOCÓ),2020,1,418615.0,191068.0,94160.0,viernes,2020-01-17 20:45:00,1923.0
27,CHOCÓ,27006,ACANDÍ,27006003,CAPURGANÁ (ACANDÍ - CHOCO),2020,1,296137.0,10767.0,833890.0,viernes,2020-01-03 18:30:00,1823.0
27,CHOCÓ,27025,ALTO BAUDÓ (PIE DE PATO),27025000,CIUDAD BAUDÓ - PIE DE PATO (ALTO BAUDÓ - CHOCÓ),2020,1,32654.0,8739.0,143180.0,martes,2020-01-21 19:15:00,1254.0
27,CHOCÓ,27075,BAHÍA SOLANO (MUTIS),27075000,CIUDAD MUTIS (BAHÍA SOLANO - CHOCÓ),2020,1,611938.0,224941.0,119196.0,viernes,2020-01-17 20:15:00,2356.0
27,CHOCÓ,27075,BAHÍA SOLANO (MUTIS),27075002,EL VALLE (BAHÍA SOLANO - CHOCÓ),2020,1,15066.0,70006.0,312050.0,viernes,2020-01-31 19:15:00,2352.0
27,CHOCÓ,27075,BAHÍA SOLANO (MUTIS),27075001,CUPICA (BAHÍA SOLANO - CHOCÓ),2020,1,57963.0,25684.0,152140.0,sábado,2020-01-04 19:15:00,2058.0
27,CHOCÓ,27077,BAJO BAUDÓ (PIZARRO),27077000,PIZARRO (BAJO BAUDÓ (PIZARRO) - CHOCÓ),2020,1,186716.0,8363.0,533810.0,viernes,2020-01-17 19:30:00,2054.0
27,CHOCÓ,27099,BOJAYÁ (BELLAVISTA),27099000,BELLAVISTA (BOJAYÁ (BELLAVISTA) - CHOCÓ),2020,1,79288.0,28402.0,242360.0,sábado,2020-01-18 19:45:00,1456.0
27,CHOCÓ,27099,BOJAYÁ (BELLAVISTA),27099002,LA LOMA DE BOJAYÁ (BOJAYÁ (BELLAVISTA) - CHOCÓ),2020,1,13519.0,5124.0,8320.0,domingo,2020-01-19 19:15:00,742.0
27,CHOCÓ,27099,BOJAYÁ (BELLAVISTA),27099008,PUERTO CONTO (BOJAYÁ (BELLAVISTA) - CHOCO),2020,1,4355.0,1136.0,4560.0,viernes,2020-01-31 20:45:00,335.0
27,CHOCÓ,27250,EL LITORAL DEL SAN JUAN,27250000,SANTA GENOVEVA DE DOCORDÓ (EL LITORAL DEL SAN JUAN - CHOCÓ),2020,1,70549.0,36589.0,186250.0,lunes,2020-01-27 19:45:00,1712.0
27,CHOCÓ,27425,MEDIO ATRATO (BETÉ),27425000,BETÉ (MEDIO ATRATO (BETÉ) - CHOCÓ),2020,1,7336.0,2747.0,840.0,viernes,2020-01-31 19:45:00,44.0
27,CHOCÓ,27495,NUQUÍ,27495001,ARUSÍ (NUQUÍ - CHOCO),2020,1,10287.0,4875.0,5120.0,lunes,2020-01-20 18:30:00,805.0
27,CHOCÓ,27495,NUQUÍ,27495912,COMUNIDAD INDÍGENA DE PANGUÍ - EL YUCAL (NUQUÍ - CHOCÓ),2020,1,5875.0,1484.0,11210.0,lunes,2020-01-20 00:00:00,1912.0
27,CHOCÓ,27495,NUQUÍ,27495000,NUQUÍ (NUQUÍ - CHOCÓ),2020,1,198811.0,62901.0,482240.0,lunes,2020-01-13 19:15:00,1934.0
27,CHOCÓ,27001,QUIBDÓ,27001029,TAGACHI (QUIBDÓ - CHOCÓ),2020,1,4956.0,11.0,70490.0,miércoles,2020-01-22 19:45:00,336.0
27,CHOCÓ,27745,SIPÍ,27745000,SIPÍ (SIPÍ - CHOCO),2020,1,10872.0,3028.0,7480.0,miércoles,2020-01-29 20:15:00,542.0
27,CHOCÓ,27800,UNGUÍA,27800001,BALBOA (UNGUÍA - CHOCÓ),2020,1,16481.0,6458.0,89870.0,sábado,2020-01-11 19:30:00,741.0
27,CHOCÓ,27800,UNGUÍA,27800005,TITUMATE (UNGUÍA - CHOCÓ),2020,1,9739.0,4014.0,69780.0,miércoles,2020-01-08 19:15:00,54.0
27,CHOCÓ,27800,UNGUÍA,27800000,UNGUÍA (UNGUÍA - CHOCÓ),2020,1,257893.0,93064.0,779240.0,sábado,2020-01-18 19:00:00,1543.0
94,GUAINÍA,94343,BARRANCOMINAS,94343000,BARRANCOMINAS (BARRANCOMINAS - GUAINÍA),2020,1,39131.0,13849.0,154140.0,miércoles,2020-01-22 19:00:00,1108.0
94,GUAINÍA,94001,INÍRIDA,94001000,INÍRIDA (INÍRIDA - GUAINÍA),2020,1,7576.0,551952.0,319352.0,martes,2020-01-28 14:30:00,24.0
95,GUAVIARE,95200,MIRAFLORES,95200000,MIRAFLORES (MIRAFLORES - GUAVIARE),2020,1,78171.0,27605.0,201080.0,miércoles,2020-01-29 19:15:00,1736.0
44,LA GUAJIRA,44847,URIBIA,44847012,NAZARETH (URIBIA - LA GUAJIRA),2020,1,1566.0,7303.0,213980.0,miércoles,2020-01-08 18:30:00,351.0
47,MAGDALENA,47189,CIÉNAGA,47189018,PALMOR (CIÉNAGA - MAGDALENA),2020,1,95888.0,36336.0,188480.0,sábado,2020-01-18 19:15:00,2336.0
50,META,50325,MAPIRIPÁN,50325000,MAPIRIPÁN (MAPIRIPÁN - META),2020,1,133744.0,56337.0,288640.0,viernes,2020-01-31 18:45:00,2337.0
52,NARIÑO,52250,EL CHARCO,52250023,BAZÁN (EL CHARCO - NARIÑO),2020,1,16316.0,7561.0,10560.0,viernes,2020-01-24 20:30:00,559.0
52,NARIÑO,52250,EL CHARCO,52250022,EL CUIL PUEBLO NUEVO (EL CHARCO - NARIÑO),2020,1,5358.0,1798.0,35280.0,sábado,2020-01-04 20:15:00,615.0
52,NARIÑO,52250,EL CHARCO,52250007,SAN JOSÉ DEL TAPAJE (EL CHARCO - NARIÑO),2020,1,13262.0,3324.0,960.0,jueves,2020-01-30 20:00:00,54.0
52,NARIÑO,52390,LA TOLA,52390013,AMÁRALES (LA TOLA - NARIÑO),2020,1,5064.0,118.0,70340.0,martes,2020-01-21 20:15:00,253.0
52,NARIÑO,52390,LA TOLA,52390003,LA VIGÍA DE LA MAR (LA TOLA - NARIÑO),2020,1,4676.0,144.0,31960.0,lunes,2020-01-06 18:45:00,608.0
52,NARIÑO,52390,LA TOLA,52390009,MULATOS (LA TOLA - NARIÑO),2020,1,4243.0,2448.0,3770.0,martes,2020-01-14 19:30:00,556.0
52,NARIÑO,52390,LA TOLA,52390016,SAN PABLO DEL MAR (LA TOLA - NARIÑO),2020,1,4497.0,8050.0,35420.0,domingo,2020-01-19 19:00:00,534.0
52,NARIÑO,52490,OLAYA HERRERA,52490913,BOCA DE PRIETA (OLAYA HERRERA - NARIÑO),2020,1,3143.0,6240.0,21840.0,miércoles,2020-01-29 18:00:00,533.0
52,NARIÑO,52490,OLAYA HERRERA,52490008,SAN JOSÉ CALABAZAL (OLAYA HERRERA - NARIÑO),2020,1,532.0,1723.0,44570.0,sábado,2020-01-11 19:00:00,43.0
52,NARIÑO,52835,SAN ANDRÉS DE TUMACO,52835055,BOCAS DE CURAY (TUMACO - NARIÑO),2020,1,6548.0,1273.0,5760.0,viernes,2020-01-24 19:00:00,437.0
52,NARIÑO,52835,SAN ANDRÉS DE TUMACO,52835012,CHAJAL (TUMACO - NARIÑO),2020,1,335.0,9020.0,145550.0,lunes,2020-01-13 19:15:00,55.0
52,NARIÑO,52835,SAN ANDRÉS DE TUMACO,52835016,PITAL DE LA COSTA (TUMACO - NARIÑO),2020,1,16992.0,9518.0,880.0,sábado,2020-01-18 19:30:00,836.0
52,NARIÑO,52835,SAN ANDRÉS DE TUMACO,52835212,PUEBLO NUEVO (TABLÓN SALADO) (TUMACO - NARIÑO),2020,1,2339.0,7980.0,2080.0,martes,2020-01-07 19:45:00,447.0
52,NARIÑO,52835,SAN ANDRÉS DE TUMACO,52835217,SAN JUAN DE LA COSTA (SAN ANDRÉS DE TUMACO - NARIÑO),2020,1,1909.0,9321.0,15360.0,martes,2020-01-14 19:15:00,554.0
52,NARIÑO,52835,SAN ANDRÉS DE TUMACO,52835091,SANTA ROSA (TUMACO - NARIÑO),2020,1,125.0,3280.0,31810.0,martes,2020-01-14 19:30:00,133.0
52,NARIÑO,52835,SAN ANDRÉS DE TUMACO,52835148,TABLÓN DULCE LA PAMPA (TUMACO - NARIÑO),2020,1,1487.0,3880.0,2810.0,lunes,2020-01-20 20:15:00,219.0
52,NARIÑO,52696,SANTA BÁRBARA (ISCUANDÉ),52696014,LA ENSENADA (SANTA BÁRBARA (ISCUANDÉ) - NARIÑO),2020,1,4466.0,506.0,28350.0,martes,2020-01-21 18:30:00,549.0
52,NARIÑO,52696,SANTA BÁRBARA (ISCUANDÉ),52696017,SANTA RITA (SANTA BARBARA (ISCUANDÉ) - NARIÑO),2020,1,2126.0,1005.0,37760.0,jueves,2020-01-02 19:30:00,215.0
86,PUTUMAYO,86573,PUERTO LEGUÍZAMO,86573009,PIÑUÑA NEGRO (PUERTO LEGUÍZAMO - PUTUMAYO),2020,1,3942.0,1771.0,2880.0,domingo,2020-01-26 20:30:00,615.0
86,PUTUMAYO,86573,PUERTO LEGUÍZAMO,86573000,PUERTO LEGUÍZAMO (PUERTO LEGUÍZAMO - PUTUMAYO),2020,1,934496.0,349113.0,214984.0,martes,2020-01-28 19:30:00,2357.0
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109028,PUERTO MERIZALDE (BUENAVENTURA - VALLE DEL CAUCA),2020,1,43466.0,13886.0,254140.0,sábado,2020-01-18 19:30:00,629.0
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109032,SAN FRANCISCO NAYA (BUENAVENTURA - VALLE DEL CAUCA),2020,1,656.0,2113.0,36580.0,viernes,2020-01-10 21:15:00,7.0
97,VAUPÉS,97161,CARURÚ,97161000,CARURÚ (CARURÚ - VAUPÉS),2020,1,26507.0,9259.0,97680.0,viernes,2020-01-24 18:45:00,1224.0
97,VAUPÉS,97001,MITÚ,97001000,MITÚ (MITÚ - VAUPÉS),2020,1,7576.0,39471.0,263377.0,viernes,2020-01-31 23:45:00,2358.0
97,VAUPÉS,97666,TARAIRA,97666000,TARAIRA (TARAIRA - VAUPÉS),2020,1,26536.0,937.0,97240.0,miércoles,2020-01-29 18:15:00,1117.0
99,VICHADA,99773,CUMARIBO,99773000,CUMARIBO (CUMARIBO - VICHADA),2020,1,269226.0,1187.0,579920.0,martes,2020-01-28 18:15:00,2149.0
99,VICHADA,99524,LA PRIMAVERA,99524000,LA PRIMAVERA (LA PRIMAVERA - VICHADA),2020,1,35144.0,182493.0,705250.0,jueves,2020-01-30 19:45:00,24.0
99,VICHADA,99001,PUERTO CARREÑO,99001002,CASUARITO (PUERTO CARREÑO - VICHADA),2020,1,26425.0,11216.0,129360.0,lunes,2020-01-20 18:30:00,843.0
99,VICHADA,99001,PUERTO CARREÑO,99001000,PUERTO CARREÑO (PUERTO CARREÑO - VICHADA),2020,1,7576.0,785884.0,43208.0,martes,2020-01-28 14:15:00,24.0
99,VICHADA,99624,SANTA ROSALÍA,99624000,SANTA ROSALÍA (SANTA ROSALÍA - VICHADA),2020,1,130724.0,6854.0,323520.0,jueves,2020-01-23 19:15:00,18.0
91,AMAZONAS,91001,LETICIA,91001000,LETICIA (LETICIA - AMAZONAS),2020,2,7576.0,4650.0,734736.0,miércoles,2020-02-05 14:30:00,24.0
91,AMAZONAS,91540,PUERTO NARIÑO,91540000,PUERTO NARIÑO (PUERTO NARIÑO - AMAZONAS),2020,2,99758.0,35858.0,221410.0,martes,2020-02-04 19:00:00,2358.0
91,AMAZONAS,91798,TARAPACÁ (ANM),91798000,TARAPACÁ (TARAPACÁ (ANM) - AMAZONAS),2020,2,2287.0,8922.0,90620.0,domingo,2020-02-23 19:00:00,1024.0
5,ANTIOQUIA,5873,VIGÍA DEL FUERTE,5873001,SAN ANTONIO DE PADUA (VIGÍA DEL FUERTE - ANTIOQUIA),2020,2,5609.0,1448.0,52930.0,viernes,2020-02-28 19:45:00,437.0
5,ANTIOQUIA,5873,VIGÍA DEL FUERTE,5873002,VEGÁEZ (VIGÍA DEL FUERTE - ANTIOQUIA),2020,2,5178.0,7170.0,43140.0,viernes,2020-02-07 18:45:00,54.0
5,ANTIOQUIA,5873,VIGÍA DEL FUERTE,5873000,VIGÍA DEL FUERTE (VIGÍA DEL FUERTE - ANTIOQUIA),2020,2,9376.0,39361.0,323490.0,viernes,2020-02-28 19:00:00,1149.0
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88564,PROVIDENCIA,88564000,PROVIDENCIA (PROVIDENCIA - ARCHIPIÉLAGO DE SAN ANDRÉS Y PROVIDENCIA),2020,2,93809.0,321284.0,161085.0,martes,2020-02-18 21:30:00,24.0
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88001,SAN ANDRÉS,88001000,SAN ANDRÉS (SAN ANDRÉS - ARCHIPIÉLAGO DE SAN ANDRÉS Y PROVIDENCIA),2020,2,7576.0,4650.0,282176.0,miércoles,2020-02-12 16:00:00,24.0
13,BOLÍVAR,13001,CARTAGENA DE INDIAS,13001007,ISLA FUERTE (CARTAGENA DE INDIAS - BOLÍVAR),2020,2,15514.0,8486.0,114570.0,domingo,2020-02-16 14:15:00,537.0
13,BOLÍVAR,13001,CARTAGENA DE INDIAS,13001037,ISLA MÚCURA (CARTAGENA DE INDIAS - BOLÍVAR),2020,2,6477.0,2892.0,25540.0,viernes,2020-02-14 22:00:00,1049.0
13,BOLÍVAR,13001,CARTAGENA DE INDIAS,13001017,SANTA CRUZ DEL ISLOTE (CARTAGENA DE INDIAS - BOLÍVAR),2020,2,12675.0,4372.0,45060.0,viernes,2020-02-07 20:15:00,1326.0
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRÁ,18150001,REMOLINO DEL CAGUÁN (CARTAGENA DEL CHAIRA - CAQUETÁ),2020,2,15525.0,7062.0,90370.0,sábado,2020-02-01 18:45:00,81.0
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753002,GUACAMAYAS (SAN VICENTE DEL CAGUÁN - CAQUETÁ),2020,2,12257.0,5917.0,40150.0,sábado,2020-02-15 19:15:00,181.0
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753009,PUERTO BETANIA (SAN VICENTE DEL CAGUÁN - CAQUETÁ),2020,2,1604.0,6330.0,40720.0,viernes,2020-02-21 19:15:00,149.0
85,CASANARE,85430,TRINIDAD,85430001,BOCAS DEL PAUTO (TRINIDAD - CASANARE),2020,2,13909.0,7296.0,110270.0,jueves,2020-02-27 19:00:00,548.0
19,CAUCA,19418,LÓPEZ DE MICAY,19418011,DOS QUEBRADAS RÍO NAYA (LÓPEZ DE MICAY - CAUCA),2020,2,6035.0,1889.0,43650.0,martes,2020-02-04 19:30:00,547.0
19,CAUCA,19418,LÓPEZ DE MICAY,19418038,ISLA DE GALLO (LÓPEZ DE MICAY - CAUCA),2020,2,2834.0,9050.0,26340.0,viernes,2020-02-14 18:30:00,435.0
19,CAUCA,19418,LÓPEZ DE MICAY,19418009,NOANAMITO (LÓPEZ DE MICAY - CAUCA),2020,2,3995.0,2058.0,440.0,miércoles,2020-02-12 19:15:00,525.0
19,CAUCA,19418,LÓPEZ DE MICAY,19418012,SAN ANTONIO DE CHUARÉ (LÓPEZ DE MICAY - CAUCA),2020,2,6033.0,179.0,6150.0,sábado,2020-02-15 18:45:00,408.0
