edad,trabajo,estado civil,educación,incumplimiento,saldo,vivienda,préstamo,contacto,día,mes,duración,campaña,días,anterior,resultado,y
58,management,casado,terciaria,no,2143,sí,no,desconocido,5,may,261,1,-1,0,desconocido,no
44,technician,soltero,secundaria,no,29,sí,no,desconocido,5,may,151,1,-1,0,desconocido,no
33,entrepreneur,casado,secundaria,no,2,sí,sí,desconocido,5,may,76,1,-1,0,desconocido,no
47,blue-collar,casado,desconocido,no,1506,sí,no,desconocido,5,may,92,1,-1,0,desconocido,no
33,desconocido,soltero,desconocido,no,1,no,no,desconocido,5,may,198,1,-1,0,desconocido,no
35,management,casado,terciaria,no,231,sí,no,desconocido,5,may,139,1,-1,0,desconocido,no
28,management,soltero,terciaria,no,447,sí,sí,desconocido,5,may,217,1,-1,0,desconocido,no
42,entrepreneur,divorciado,terciaria,sí,2,sí,no,desconocido,5,may,380,1,-1,0,desconocido,no
58,retired,casado,primaria,no,121,sí,no,desconocido,5,may,50,1,-1,0,desconocido,no
43,technician,soltero,secundaria,no,593,sí,no,desconocido,5,may,55,1,-1,0,desconocido,no
41,admin.,divorciado,secundaria,no,270,sí,no,desconocido,5,may,222,1,-1,0,desconocido,no
29,admin.,soltero,secundaria,no,390,sí,no,desconocido,5,may,137,1,-1,0,desconocido,no
53,technician,casado,secundaria,no,6,sí,no,desconocido,5,may,-517,1,-1,0,desconocido,no
58,technician,casado,desconocido,no,71,sí,no,desconocido,5,may,71,1,-1,0,desconocido,no
57,services,casado,secundaria,no,162,sí,no,desconocido,5,may,174,1,-1,0,desconocido,no
51,retired,casado,primaria,no,229,sí,no,desconocido,5,may,353,1,-1,0,desconocido,no
45,admin.,soltero,desconocido,no,13,sí,no,desconocido,5,may,98,1,-1,0,desconocido,no
57,blue-collar,casado,primaria,no,52,sí,no,desconocido,5,may,38,1,-1,0,desconocido,no
60,retired,casado,primaria,no,60,sí,no,desconocido,5,may,219,1,-1,0,desconocido,no
33,services,casado,secundaria,no,0,sí,no,desconocido,5,may,54,1,-1,0,desconocido,no
28,blue-collar,casado,secundaria,no,723,sí,sí,desconocido,5,may,262,1,-1,0,desconocido,no
56,management,casado,terciaria,no,779,sí,no,desconocido,5,may,164,1,-1,0,desconocido,no
32,blue-collar,soltero,primaria,no,23,sí,sí,desconocido,5,may,160,1,-1,0,desconocido,no
25,services,casado,secundaria,no,50,sí,no,desconocido,5,may,342,1,-1,0,desconocido,no
40,retired,casado,primaria,no,0,sí,sí,desconocido,5,may,181,1,-1,0,desconocido,no
44,admin.,casado,secundaria,no,-372,sí,no,desconocido,5,may,172,1,-1,0,desconocido,no
39,management,soltero,terciaria,no,255,sí,no,desconocido,5,may,296,1,-1,0,desconocido,no
52,entrepreneur,casado,secundaria,no,113,sí,sí,desconocido,5,may,127,1,-1,0,desconocido,no
46,management,soltero,secundaria,no,-246,sí,no,desconocido,5,may,255,2,-1,0,desconocido,no
36,technician,soltero,secundaria,no,265,sí,sí,desconocido,5,may,348,1,-1,0,desconocido,no
57,technician,casado,secundaria,no,839,no,sí,desconocido,5,may,225,1,-1,0,desconocido,no
49,management,casado,terciaria,no,378,sí,no,desconocido,5,may,230,1,-1,0,desconocido,no
60,admin.,casado,secundaria,no,39,sí,sí,desconocido,5,may,208,1,-1,0,desconocido,no
59,blue-collar,casado,secundaria,no,0,sí,no,desconocido,5,may,226,1,-1,0,desconocido,no
51,management,casado,terciaria,no,10635,sí,no,desconocido,5,may,336,1,-1,0,desconocido,no
57,technician,divorciado,secundaria,no,63,sí,no,desconocido,5,may,242,1,-1,0,desconocido,no
25,blue-collar,casado,secundaria,no,-7,sí,no,desconocido,5,may,365,1,-1,0,desconocido,no
53,technician,casado,secundaria,no,-3,no,no,desconocido,5,may,1666,1,-1,0,desconocido,no
36,admin.,divorciado,secundaria,no,506,sí,no,desconocido,5,may,577,1,-1,0,desconocido,no
37,admin.,soltero,secundaria,no,0,sí,no,desconocido,5,may,137,1,-1,0,desconocido,no
44,services,divorciado,secundaria,no,2586,sí,no,desconocido,5,may,160,1,-1,0,desconocido,no
50,management,casado,secundaria,no,49,sí,no,desconocido,5,may,180,2,-1,0,desconocido,no
60,blue-collar,casado,desconocido,no,104,sí,no,desconocido,5,may,22,1,-1,0,desconocido,no
54,retired,casado,secundaria,no,529,sí,no,desconocido,5,may,1492,1,-1,0,desconocido,no
58,retired,casado,desconocido,no,96,sí,no,desconocido,5,may,616,1,-1,0,desconocido,no
36,admin.,soltero,primaria,no,-171,sí,no,desconocido,5,may,242,1,-1,0,desconocido,no
58,self-employed,casado,terciaria,no,-364,sí,no,desconocido,5,may,355,1,-1,0,desconocido,no
44,technician,casado,secundaria,no,0,sí,no,desconocido,5,may,225,2,-1,0,desconocido,no
55,technician,divorciado,secundaria,no,0,no,no,desconocido,5,may,160,1,-1,0,desconocido,no
29,management,soltero,terciaria,no,0,sí,no,desconocido,5,may,363,1,-1,0,desconocido,no
54,blue-collar,casado,secundaria,no,1291,sí,no,desconocido,5,may,266,1,-1,0,desconocido,no
48,management,divorciado,terciaria,no,-244,sí,no,desconocido,5,may,253,1,-1,0,desconocido,no
32,management,casado,terciaria,no,0,sí,no,desconocido,5,may,179,1,-1,0,desconocido,no
42,admin.,soltero,secundaria,no,-76,sí,no,desconocido,5,may,787,1,-1,0,desconocido,no
24,technician,soltero,secundaria,no,-103,sí,sí,desconocido,5,may,145,1,-1,0,desconocido,no
38,entrepreneur,soltero,terciaria,no,243,no,sí,desconocido,5,may,174,1,-1,0,desconocido,no
38,management,soltero,terciaria,no,424,sí,no,desconocido,5,may,104,1,-1,0,desconocido,no
47,blue-collar,casado,desconocido,no,306,sí,no,desconocido,5,may,13,1,-1,0,desconocido,no
40,blue-collar,soltero,desconocido,no,24,sí,no,desconocido,5,may,185,1,-1,0,desconocido,no
46,services,casado,primaria,no,179,sí,no,desconocido,5,may,1778,1,-1,0,desconocido,no
32,admin.,casado,terciaria,no,0,sí,no,desconocido,5,may,138,1,-1,0,desconocido,no
53,technician,divorciado,secundaria,no,989,sí,no,desconocido,5,may,812,1,-1,0,desconocido,no
57,blue-collar,casado,primaria,no,249,sí,no,desconocido,5,may,164,1,-1,0,desconocido,no
33,services,casado,secundaria,no,790,sí,no,desconocido,5,may,391,1,-1,0,desconocido,no
49,blue-collar,casado,desconocido,no,154,sí,no,desconocido,5,may,357,1,-1,0,desconocido,no
51,management,casado,terciaria,no,6530,sí,no,desconocido,5,may,91,1,-1,0,desconocido,no
60,retired,casado,terciaria,no,100,no,no,desconocido,5,may,528,1,-1,0,desconocido,no
59,management,divorciado,terciaria,no,59,sí,no,desconocido,5,may,273,1,-1,0,desconocido,no
55,technician,casado,secundaria,no,1205,sí,no,desconocido,5,may,158,2,-1,0,desconocido,no
35,blue-collar,soltero,secundaria,no,12223,sí,sí,desconocido,5,may,177,1,-1,0,desconocido,no
57,blue-collar,casado,secundaria,no,5935,sí,sí,desconocido,5,may,258,1,-1,0,desconocido,no
31,services,casado,secundaria,no,25,sí,sí,desconocido,5,may,172,1,-1,0,desconocido,no
54,management,casado,secundaria,no,282,sí,sí,desconocido,5,may,154,1,-1,0,desconocido,no
55,blue-collar,casado,primaria,no,23,sí,no,desconocido,5,may,291,1,-1,0,desconocido,no
43,technician,casado,secundaria,no,1937,sí,no,desconocido,5,may,181,1,-1,0,desconocido,no
53,technician,casado,secundaria,no,384,sí,no,desconocido,5,may,176,1,-1,0,desconocido,no
44,blue-collar,casado,secundaria,no,582,no,sí,desconocido,5,may,211,1,-1,0,desconocido,no
55,services,divorciado,secundaria,no,91,no,no,desconocido,5,may,349,1,-1,0,desconocido,no
49,services,divorciado,secundaria,no,0,sí,sí,desconocido,5,may,272,1,-1,0,desconocido,no
55,services,divorciado,secundaria,sí,1,sí,no,desconocido,5,may,208,1,-1,0,desconocido,no
45,admin.,soltero,secundaria,no,206,sí,no,desconocido,5,may,193,1,-1,0,desconocido,no
47,services,divorciado,secundaria,no,164,no,no,desconocido,5,may,212,1,-1,0,desconocido,no
42,technician,soltero,secundaria,no,690,sí,no,desconocido,5,may,20,1,-1,0,desconocido,no
59,admin.,casado,secundaria,no,2343,sí,no,desconocido,5,may,1042,1,-1,0,desconocido,sí
46,self-employed,casado,terciaria,no,137,sí,sí,desconocido,5,may,246,1,-1,0,desconocido,no
51,blue-collar,casado,primaria,no,173,sí,no,desconocido,5,may,529,2,-1,0,desconocido,no
56,admin.,casado,secundaria,no,45,no,no,desconocido,5,may,1467,1,-1,0,desconocido,sí
41,technician,casado,secundaria,no,1270,sí,no,desconocido,5,may,-1389,1,-1,0,desconocido,sí
46,management,divorciado,secundaria,no,16,sí,sí,desconocido,5,may,188,2,-1,0,desconocido,no
57,retired,casado,secundaria,no,486,sí,no,desconocido,5,may,180,2,-1,0,desconocido,no
42,management,soltero,secundaria,no,50,no,no,desconocido,5,may,48,1,-1,0,desconocido,no
30,technician,casado,secundaria,no,152,sí,sí,desconocido,5,may,213,2,-1,0,desconocido,no
60,admin.,casado,secundaria,no,290,sí,no,desconocido,5,may,583,1,-1,0,desconocido,no
60,blue-collar,casado,desconocido,no,54,sí,no,desconocido,5,may,221,1,-1,0,desconocido,no
57,entrepreneur,divorciado,secundaria,no,-37,no,no,desconocido,5,may,173,1,-1,0,desconocido,no
36,management,casado,terciaria,no,101,sí,sí,desconocido,5,may,426,1,-1,0,desconocido,no
55,blue-collar,casado,secundaria,no,383,no,no,desconocido,5,may,287,1,-1,0,desconocido,no
60,retired,casado,terciaria,no,81,sí,no,desconocido,5,may,101,1,-1,0,desconocido,no
39,technician,casado,secundaria,no,0,sí,no,desconocido,5,may,203,1,-1,0,desconocido,no
46,management,casado,terciaria,no,229,sí,no,desconocido,5,may,197,1,-1,0,desconocido,no
44,blue-collar,casado,secundaria,no,-674,sí,no,desconocido,5,may,257,1,-1,0,desconocido,no
53,blue-collar,casado,primaria,no,90,no,no,desconocido,5,may,124,1,-1,0,desconocido,no
52,blue-collar,casado,primaria,no,128,sí,no,desconocido,5,may,229,1,-1,0,desconocido,no
59,blue-collar,casado,primaria,no,179,sí,no,desconocido,5,may,55,3,-1,0,desconocido,no
27,technician,soltero,terciaria,no,0,sí,no,desconocido,5,may,400,1,-1,0,desconocido,no
44,blue-collar,casado,secundaria,no,54,sí,no,desconocido,5,may,197,1,-1,0,desconocido,no
47,technician,casado,terciaria,no,151,sí,no,desconocido,5,may,190,1,-1,0,desconocido,no
34,admin.,casado,secundaria,no,61,no,sí,desconocido,5,may,21,1,-1,0,desconocido,no
59,retired,soltero,secundaria,no,30,sí,no,desconocido,5,may,514,1,-1,0,desconocido,no
45,management,casado,terciaria,no,523,sí,no,desconocido,5,may,849,2,-1,0,desconocido,no
29,services,divorciado,secundaria,no,31,sí,no,desconocido,5,may,194,1,-1,0,desconocido,no
46,technician,divorciado,secundaria,no,79,no,no,desconocido,5,may,144,1,-1,0,desconocido,no
56,self-employed,casado,primaria,no,-34,sí,sí,desconocido,5,may,212,2,-1,0,desconocido,no
36,blue-collar,casado,primaria,no,448,sí,no,desconocido,5,may,286,1,-1,0,desconocido,no
59,retired,divorciado,primaria,no,81,sí,no,desconocido,5,may,107,1,-1,0,desconocido,no
44,blue-collar,casado,secundaria,no,144,sí,no,desconocido,5,may,247,2,-1,0,desconocido,no
41,admin.,casado,secundaria,no,351,sí,no,desconocido,5,may,518,1,-1,0,desconocido,no
33,management,soltero,terciaria,no,-67,sí,no,desconocido,5,may,364,1,-1,0,desconocido,no
59,management,divorciado,terciaria,no,262,no,no,desconocido,5,may,178,1,-1,0,desconocido,no
57,technician,casado,primaria,no,0,no,no,desconocido,5,may,98,1,-1,0,desconocido,no
56,technician,divorciado,desconocido,no,56,sí,no,desconocido,5,may,439,1,-1,0,desconocido,no
51,blue-collar,casado,secundaria,no,26,sí,no,desconocido,5,may,79,1,-1,0,desconocido,no
34,admin.,casado,desconocido,no,3,sí,no,desconocido,5,may,120,3,-1,0,desconocido,no
43,services,casado,secundaria,no,41,sí,sí,desconocido,5,may,127,2,-1,0,desconocido,no
52,technician,casado,terciaria,no,7,no,sí,desconocido,5,may,175,1,-1,0,desconocido,no
33,technician,soltero,secundaria,no,105,sí,no,desconocido,5,may,262,2,-1,0,desconocido,no
29,admin.,soltero,secundaria,no,818,sí,sí,desconocido,5,may,61,1,-1,0,desconocido,no
34,services,casado,secundaria,no,-16,sí,sí,desconocido,5,may,78,1,-1,0,desconocido,no
31,blue-collar,casado,secundaria,no,0,sí,no,desconocido,5,may,143,1,-1,0,desconocido,no
55,services,casado,secundaria,no,2476,sí,no,desconocido,5,may,579,1,-1,0,desconocido,sí
55,management,casado,desconocido,no,1185,no,no,desconocido,5,may,677,1,-1,0,desconocido,no
32,admin.,soltero,secundaria,no,217,sí,no,desconocido,5,may,345,1,-1,0,desconocido,no
38,technician,soltero,secundaria,no,1685,sí,no,desconocido,5,may,185,1,-1,0,desconocido,no
55,admin.,soltero,secundaria,no,802,sí,sí,desconocido,5,may,100,2,-1,0,desconocido,no
28,unemployed,soltero,terciaria,no,0,sí,no,desconocido,5,may,125,2,-1,0,desconocido,no
23,blue-collar,casado,secundaria,no,94,sí,no,desconocido,5,may,193,1,-1,0,desconocido,no
32,technician,soltero,secundaria,no,0,sí,no,desconocido,5,may,136,1,-1,0,desconocido,no
43,services,soltero,desconocido,no,0,no,no,desconocido,5,may,73,1,-1,0,desconocido,no
32,blue-collar,casado,secundaria,no,517,sí,no,desconocido,5,may,528,1,-1,0,desconocido,no
46,blue-collar,casado,secundaria,no,265,sí,no,desconocido,5,may,541,1,-1,0,desconocido,no
53,housemaid,divorciado,primaria,no,947,sí,no,desconocido,5,may,163,1,-1,0,desconocido,no
34,self-employed,soltero,secundaria,no,3,sí,no,desconocido,5,may,301,1,-1,0,desconocido,no
57,unemployed,casado,terciaria,no,42,no,no,desconocido,5,may,46,1,-1,0,desconocido,no
37,blue-collar,casado,secundaria,no,37,sí,no,desconocido,5,may,204,1,-1,0,desconocido,no
