id_departamento,departamento,id_municipio,municipio,id_localidad,localidad,año_servicio,mes_servicio,energía_activa_kWh,energía_reactiva_kVArh,potencia_máxima_kW,día_de_demanda_máxima_kW,fecha_de_demanda_máxima,promedio_diario_en_horas
91,AMAZONAS,91001,LETICIA,91001000,LETICIA (LETICIA - AMAZONAS),2020,1,,,7768.76,lunes,2020-01-27 14:15:00,24.0
91,AMAZONAS,91540,PUERTO NARIÑO,91540000,PUERTO NARIÑO (PUERTO NARIÑO - AMAZONAS),2020,1,103.897,36.304,227.04,miércoles,2020-01-22 19:15:00,24.0
91,AMAZONAS,91798,TARAPACÁ (ANM),91798000,TARAPACÁ (TARAPACÁ (ANM) - AMAZONAS),2020,1,22.864,9.277,88.96,jueves,2020-01-30 19:30:00,1019.0
5,ANTIOQUIA,5873,VIGÍA DEL FUERTE,5873001,SAN ANTONIO DE PADUA (VIGÍA DEL FUERTE - ANTIOQUIA),2020,1,5.617,1.381,53.66,jueves,2020-01-23 19:45:00,413.0
5,ANTIOQUIA,5873,VIGÍA DEL FUERTE,5873002,VEGÁEZ (VIGÍA DEL FUERTE - ANTIOQUIA),2020,1,2.217,539.0,39.07,miércoles,2020-01-29 19:45:00,317.0
5,ANTIOQUIA,5873,VIGÍA DEL FUERTE,5873000,VIGÍA DEL FUERTE (VIGÍA DEL FUERTE - ANTIOQUIA),2020,1,64.137,28.058,324.19,jueves,2020-01-23 21:45:00,811.0
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88564,PROVIDENCIA,88564000,PROVIDENCIA (PROVIDENCIA - ARCHIPIÉLAGO DE SAN ANDRÉS Y PROVIDENCIA),2020,1,982.117,337.077,1671.09,viernes,2020-01-03 19:30:00,24.0
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88001,SAN ANDRÉS,88001000,SAN ANDRÉS (SAN ANDRÉS - ARCHIPIÉLAGO DE SAN ANDRÉS Y PROVIDENCIA),2020,1,,,28619.27,viernes,2020-01-03 15:45:00,24.0
13,BOLÍVAR,13001,CARTAGENA DE INDIAS,13001007,ISLA FUERTE (CARTAGENA DE INDIAS - BOLÍVAR),2020,1,16.797,8.887,135.85,sábado,2020-01-04 15:30:00,526.0
13,BOLÍVAR,13001,CARTAGENA DE INDIAS,13001037,ISLA MÚCURA (CARTAGENA DE INDIAS - BOLÍVAR),2020,1,10.188,4.396,31.44,sábado,2020-01-04 21:45:00,146.0
13,BOLÍVAR,13001,CARTAGENA DE INDIAS,13001017,SANTA CRUZ DEL ISLOTE (CARTAGENA DE INDIAS - BOLÍVAR),2020,1,13.187,4.523,50.18,sábado,2020-01-11 22:15:00,1223.0
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRÁ,18150001,REMOLINO DEL CAGUÁN (CARTAGENA DEL CHAIRA - CAQUETÁ),2020,1,15.966,7.544,87.13,sábado,2020-01-25 18:45:00,806.0
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753002,GUACAMAYAS (SAN VICENTE DEL CAGUÁN - CAQUETÁ),2020,1,12.554,6.147,39.26,viernes,2020-01-03 19:30:00,1826.0
85,CASANARE,85430,TRINIDAD,85430001,BOCAS DEL PAUTO (TRINIDAD - CASANARE),2020,1,13.1,7.33,107.65,jueves,2020-01-30 19:00:00,556.0
19,CAUCA,19418,LÓPEZ DE MICAY,19418011,DOS QUEBRADAS RÍO NAYA (LÓPEZ DE MICAY - CAUCA),2020,1,2.09,537.0,45.25,sábado,2020-01-04 18:45:00,147.0
19,CAUCA,19418,LÓPEZ DE MICAY,19418038,ISLA DE GALLO (LÓPEZ DE MICAY - CAUCA),2020,1,2.545,788.0,26.94,viernes,2020-01-10 18:45:00,354.0
19,CAUCA,19418,LÓPEZ DE MICAY,19418009,NOANAMITO (LÓPEZ DE MICAY - CAUCA),2020,1,4.271,2.127,32.0,viernes,2020-01-31 20:45:00,556.0
19,CAUCA,19418,LÓPEZ DE MICAY,19418012,SAN ANTONIO DE CHUARÉ (LÓPEZ DE MICAY - CAUCA),2020,1,6.552,1.861,60.74,lunes,2020-01-27 19:15:00,439.0
19,CAUCA,19418,LÓPEZ DE MICAY,19418019,ZARAGOZA (LOPEZ DE MICAY - CAUCA),2020,1,5.843,2.375,57.31,martes,2020-01-21 19:15:00,502.0
19,CAUCA,19809,TIMBIQUÍ,19809014,CHACÓN (TIMBIQUÍ - CAUCA),2020,1,3.53,625.0,30.06,miércoles,2020-01-15 18:45:00,503.0
19,CAUCA,19809,TIMBIQUÍ,19809010,COMUNIDAD DE CHETE (TIMBIQUÍ - CAUCA),2020,1,2.093,617.0,39.23,domingo,2020-01-19 19:30:00,205.0
19,CAUCA,19809,TIMBIQUÍ,19809003,COTEJE (TIMBIQUÍ - CAUCA),2020,1,5.137,3.129,34.04,sábado,2020-01-18 19:45:00,546.0
19,CAUCA,19809,TIMBIQUÍ,19809026,LOS BRAZOS (TIMBIQUÍ - CAUCA),2020,1,9.464,1.581,51.77,miércoles,2020-01-29 19:45:00,65.0
19,CAUCA,19809,TIMBIQUÍ,19809023,PUERTO SAIJA (TIMBIQUÍ - CAUCA),2020,1,30.165,10.63,168.08,domingo,2020-01-19 19:15:00,705.0
19,CAUCA,19809,TIMBIQUÍ,19809007,SAN JOSÉ (TIMBIQUÍ - CAUCA),2020,1,6.346,3.46,45.53,sábado,2020-01-25 20:30:00,546.0
19,CAUCA,19809,TIMBIQUÍ,19809008,SANTA MARÍA (TIMBIQUÍ - CAUCA),2020,1,12.368,4.382,75.2,martes,2020-01-28 19:30:00,636.0
19,CAUCA,19809,TIMBIQUÍ,19809009,SANTA ROSA DE SAIJA (TIMBIQUÍ - CAUCA),2020,1,2.41,671.0,24.31,martes,2020-01-28 19:30:00,401.0
27,CHOCÓ,27006,ACANDÍ,27006000,ACANDÍ (ACANDÍ - CHOCÓ),2020,1,418.615,191.068,941.6,viernes,2020-01-17 20:45:00,1923.0
27,CHOCÓ,27006,ACANDÍ,27006003,CAPURGANÁ (ACANDÍ - CHOCO),2020,1,296.137,107.67,833.89,viernes,2020-01-03 18:30:00,1823.0
27,CHOCÓ,27025,ALTO BAUDÓ (PIE DE PATO),27025000,CIUDAD BAUDÓ - PIE DE PATO (ALTO BAUDÓ - CHOCÓ),2020,1,32.654,8.739,143.18,martes,2020-01-21 19:15:00,1254.0
27,CHOCÓ,27075,BAHÍA SOLANO (MUTIS),27075000,CIUDAD MUTIS (BAHÍA SOLANO - CHOCÓ),2020,1,611.938,224.941,1191.96,viernes,2020-01-17 20:15:00,2356.0
27,CHOCÓ,27075,BAHÍA SOLANO (MUTIS),27075002,EL VALLE (BAHÍA SOLANO - CHOCÓ),2020,1,150.66,70.006,312.05,viernes,2020-01-31 19:15:00,2352.0
27,CHOCÓ,27075,BAHÍA SOLANO (MUTIS),27075001,CUPICA (BAHÍA SOLANO - CHOCÓ),2020,1,57.963,25.684,152.14,sábado,2020-01-04 19:15:00,2058.0
27,CHOCÓ,27077,BAJO BAUDÓ (PIZARRO),27077000,PIZARRO (BAJO BAUDÓ (PIZARRO) - CHOCÓ),2020,1,186.716,83.63,533.81,viernes,2020-01-17 19:30:00,2054.0
27,CHOCÓ,27099,BOJAYÁ (BELLAVISTA),27099000,BELLAVISTA (BOJAYÁ (BELLAVISTA) - CHOCÓ),2020,1,79.288,28.402,242.36,sábado,2020-01-18 19:45:00,1456.0
27,CHOCÓ,27099,BOJAYÁ (BELLAVISTA),27099002,LA LOMA DE BOJAYÁ (BOJAYÁ (BELLAVISTA) - CHOCÓ),2020,1,13.519,5.124,83.2,domingo,2020-01-19 19:15:00,742.0
27,CHOCÓ,27099,BOJAYÁ (BELLAVISTA),27099008,PUERTO CONTO (BOJAYÁ (BELLAVISTA) - CHOCO),2020,1,4.355,1.136,45.6,viernes,2020-01-31 20:45:00,335.0
27,CHOCÓ,27250,EL LITORAL DEL SAN JUAN,27250000,SANTA GENOVEVA DE DOCORDÓ (EL LITORAL DEL SAN JUAN - CHOCÓ),2020,1,70.549,36.589,186.25,lunes,2020-01-27 19:45:00,1712.0
27,CHOCÓ,27425,MEDIO ATRATO (BETÉ),27425000,BETÉ (MEDIO ATRATO (BETÉ) - CHOCÓ),2020,1,7.336,2.747,84.0,viernes,2020-01-31 19:45:00,44.0
27,CHOCÓ,27495,NUQUÍ,27495001,ARUSÍ (NUQUÍ - CHOCO),2020,1,10.287,4.875,51.2,lunes,2020-01-20 18:30:00,805.0
27,CHOCÓ,27495,NUQUÍ,27495912,COMUNIDAD INDÍGENA DE PANGUÍ - EL YUCAL (NUQUÍ - CHOCÓ),2020,1,5.875,1.484,11.21,lunes,2020-01-20 00:00:00,1912.0
27,CHOCÓ,27495,NUQUÍ,27495000,NUQUÍ (NUQUÍ - CHOCÓ),2020,1,198.811,62.901,482.24,lunes,2020-01-13 19:15:00,1934.0
27,CHOCÓ,27001,QUIBDÓ,27001029,TAGACHI (QUIBDÓ - CHOCÓ),2020,1,4.956,1.1,70.49,miércoles,2020-01-22 19:45:00,336.0
